Threshold,Accuracy,Precision,Recall,F1,FP,FN,TP,TN
0.3,0.819672131147541,0.717948717948718,1.0,0.835820895522388,11,0,28,22
0.4,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,6,2,26,27
0.5,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,6,2,26,27
0.6,0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,4,3,25,29
0.7,0.9016393442622951,0.8928571428571429,0.8928571428571429,0.8928571428571429,3,3,25,30
